tipoDocumento,competencia,vencimento,valor,valorNumero,status,voceJaPagou,id
HOLERITE,05/2026,19/06/2026,-,,Pago,true,HOLERITE|05/2026|19/06/2026
DARF - FOLHA,04/2026,20/05/2026,"R$ 178,31",178.31,Pago,true,DARF - FOLHA|04/2026|20/05/2026
DAS - SIMPLES NACIONAL,04/2026,20/05/2026,"R$ 1.977,56",1977.56,Pago,true,DAS - SIMPLES NACIONAL|04/2026|20/05/2026
Taxa de Localização e Fu...,05/2026,11/05/2026,-,,Pago,true,Taxa de Localização e Fu...|05/2026|11/05/2026
HOLERITE,04/2026,20/05/2026,-,,Pago,true,HOLERITE|04/2026|20/05/2026
DAS - SIMPLES NACIONAL,03/2026,20/04/2026,"R$ 1.801,87",1801.87,Pago,true,DAS - SIMPLES NACIONAL|03/2026|20/04/2026
DARF - FOLHA,03/2026,20/04/2026,"R$ 178,31",178.31,Pago,true,DARF - FOLHA|03/2026|20/04/2026
HOLERITE,03/2026,20/04/2026,-,,Pago,true,HOLERITE|03/2026|20/04/2026
DAS - SIMPLES NACIONAL,02/2026,20/03/2026,"R$ 1.794,35",1794.35,Pago,true,DAS - SIMPLES NACIONAL|02/2026|20/03/2026
DARF - FOLHA,02/2026,20/03/2026,"R$ 178,31",178.31,Pago,true,DARF - FOLHA|02/2026|20/03/2026
HOLERITE,02/2026,20/03/2026,-,,Pago,true,HOLERITE|02/2026|20/03/2026
DAS - SIMPLES NACIONAL,01/2026,20/02/2026,"R$ 1.786,66",1786.66,Pago,true,DAS - SIMPLES NACIONAL|01/2026|20/02/2026
DARF - FOLHA,01/2026,20/02/2026,"R$ 178,31",178.31,Pago,true,DARF - FOLHA|01/2026|20/02/2026
HOLERITE,01/2026,20/02/2026,-,,Pago,true,HOLERITE|01/2026|20/02/2026
DAS - SIMPLES NACIONAL,12/2025,20/01/2026,"R$ 1.778,83",1778.83,Pago,true,DAS - SIMPLES NACIONAL|12/2025|20/01/2026
DARF - FOLHA,12/2025,20/01/2026,"R$ 166,98",166.98,Pago,true,DARF - FOLHA|12/2025|20/01/2026
HOLERITE,12/2025,20/01/2026,-,,Pago,true,HOLERITE|12/2025|20/01/2026
