contajaId,tipoDocumento,competencia,vencimento,valor,valorNumero,status,anexo,aliquotaEfetiva,receitaCompetencia,impostoDevido,fatorR,visualizar,id
968806,HOLERITE,05/2026,19/06/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|05/2026|19/06/2026
944479,DARF - FOLHA,04/2026,20/05/2026,"R$ 178,31",178.31,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|04/2026|20/05/2026
928618,DAS - SIMPLES NACIONAL,04/2026,20/05/2026,"R$ 1.977,56",1977.56,Pago,Anexo III,"7,91","R$ 25.000,00","R$ 1.977,56",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|04/2026|20/05/2026
925422,Taxa de Localização e Funcionamento,05/2026,11/05/2026,-,,Pago,,,,,,documento sem API de calculo mapeada,Taxa de Localização e Funcionamento|05/2026|11/05/2026
922129,HOLERITE,04/2026,20/05/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|04/2026|20/05/2026
890750,DAS - SIMPLES NACIONAL,03/2026,20/04/2026,"R$ 1.801,87",1801.87,Pago,Anexo III,"7,88","R$ 22.872,29","R$ 1.801,87",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|03/2026|20/04/2026
884216,DARF - FOLHA,03/2026,20/04/2026,"R$ 178,31",178.31,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|03/2026|20/04/2026
879663,HOLERITE,03/2026,20/04/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|03/2026|20/04/2026
845308,DAS - SIMPLES NACIONAL,02/2026,20/03/2026,"R$ 1.794,35",1794.35,Pago,Anexo III,"7,85","R$ 22.872,29","R$ 1.794,35",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|02/2026|20/03/2026
844389,DARF - FOLHA,02/2026,20/03/2026,"R$ 178,31",178.31,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|02/2026|20/03/2026
840192,HOLERITE,02/2026,20/03/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|02/2026|20/03/2026
811907,DAS - SIMPLES NACIONAL,01/2026,20/02/2026,"R$ 1.786,66",1786.66,Pago,Anexo III,"7,81","R$ 22.872,29","R$ 1.786,66",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|01/2026|20/02/2026
807712,DARF - FOLHA,01/2026,20/02/2026,"R$ 178,31",178.31,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|01/2026|20/02/2026
804351,HOLERITE,01/2026,20/02/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|01/2026|20/02/2026
777503,DAS - SIMPLES NACIONAL,12/2025,20/01/2026,"R$ 1.778,83",1778.83,Pago,Anexo III,"7,78","R$ 22.872,29","R$ 1.778,83",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|12/2025|20/01/2026
774631,DARF - FOLHA,12/2025,20/01/2026,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|12/2025|20/01/2026
766667,HOLERITE,12/2025,20/01/2026,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|12/2025|20/01/2026
763811,DARF - FOLHA | Recálculo de Tributo,11/2025,22/12/2025,"R$ 167,53",167.53,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | Recálculo de Tributo|11/2025|22/12/2025
741693,DAS - SIMPLES NACIONAL,11/2025,22/12/2025,"R$ 1.770,83",1770.83,Pago,Anexo III,"7,74","R$ 22.872,29","R$ 1.770,83",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|11/2025|22/12/2025
739145,DARF - FOLHA,11/2025,19/12/2025,"R$ 166,98",166.98,Recálculo solicitado,,,,,,PDF (demonstrativo),DARF - FOLHA|11/2025|19/12/2025
733361,HOLERITE,11/2025,19/12/2025,-,,Vencido,,,,,,PDF (demonstrativo),HOLERITE|11/2025|19/12/2025
710545,DAS - SIMPLES NACIONAL,10/2025,21/11/2025,"R$ 1.762,67",1762.67,Pago,Anexo III,"7,71","R$ 22.872,29","R$ 1.762,67",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|10/2025|21/11/2025
706057,DARF - FOLHA,10/2025,19/11/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|10/2025|19/11/2025
699570,HOLERITE,10/2025,19/11/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|10/2025|19/11/2025
683461,DAS - SIMPLES NACIONAL,09/2025,20/10/2025,"R$ 1.754,33",1754.33,Pago,Anexo III,"7,67","R$ 22.872,29","R$ 1.754,33",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|09/2025|20/10/2025
673676,DARF - FOLHA,09/2025,20/10/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|09/2025|20/10/2025
667037,HOLERITE,09/2025,20/10/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|09/2025|20/10/2025
653426,DARF - FOLHA,08/2025,19/09/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|08/2025|19/09/2025
644091,DAS - SIMPLES NACIONAL,08/2025,22/09/2025,"R$ 1.745,83",1745.83,Pago,Anexo III,"7,63","R$ 22.872,29","R$ 1.745,83",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|08/2025|22/09/2025
637970,HOLERITE,08/2025,19/09/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|08/2025|19/09/2025
617763,DAS - SIMPLES NACIONAL,07/2025,20/08/2025,"R$ 3.135,25",3135.25,Pago,Anexo III,"7,61","R$ 41.220,38","R$ 3.135,25",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|07/2025|20/08/2025
615697,DARF - FOLHA,07/2025,20/08/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|07/2025|20/08/2025
608948,HOLERITE,07/2025,20/08/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|07/2025|20/08/2025
588781,DARF - FOLHA,06/2025,18/07/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|06/2025|18/07/2025
587050,DAS - SIMPLES NACIONAL,06/2025,21/07/2025,"R$ 1.526,74",1526.74,Pago,Anexo III,"7,59","R$ 20.107,50","R$ 1.526,74",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|06/2025|21/07/2025
580612,HOLERITE,06/2025,18/07/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|06/2025|18/07/2025
564166,DAS - SIMPLES NACIONAL,05/2025,20/06/2025,"R$ 1.524,03",1524.03,Pago,Anexo III,"7,58","R$ 20.107,50","R$ 1.524,03",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|05/2025|20/06/2025
559778,DARF - FOLHA,05/2025,20/06/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|05/2025|20/06/2025
554098,HOLERITE,05/2025,20/06/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|05/2025|20/06/2025
537167,DAS - SIMPLES NACIONAL,04/2025,20/05/2025,"R$ 1.521,34",1521.34,Pago,Anexo III,"7,57","R$ 20.107,50","R$ 1.521,34",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|04/2025|20/05/2025
533517,DARF - FOLHA,04/2025,20/05/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|04/2025|20/05/2025
527814,HOLERITE,04/2025,20/05/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|04/2025|20/05/2025
521644,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO,03/2025,12/05/2025,-,,Pago,,,,,,documento sem API de calculo mapeada,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO|03/2025|12/05/2025
512182,DAS - SIMPLES NACIONAL,03/2025,22/04/2025,"R$ 1.518,60",1518.6,Pago,Anexo III,"7,55","R$ 20.107,50","R$ 1.518,60",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|03/2025|22/04/2025
504929,DARF - FOLHA,03/2025,17/04/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|03/2025|17/04/2025
499819,HOLERITE,03/2025,17/04/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|03/2025|17/04/2025
486245,DARF - FOLHA,02/2025,20/03/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|02/2025|20/03/2025
