id,origem,dataEmissao,competencia,tomador,servico,valor,valorNumero,status,statusSlug,contajaId
contaja-1001600,contaja,01/06/2026 21:06:40,06/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a mai/26,"R$ 25.000,00",25000,Autorizada,authorized,1001600
contaja-947522,contaja,02/05/2026 11:40:14,05/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a abr/26,"R$ 25.000,00",25000,Autorizada,authorized,947522
contaja-899830,contaja,01/04/2026 15:22:42,04/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a mar/25,"R$ 25.000,00",25000,Autorizada,authorized,899830
contaja-852510,contaja,02/03/2026 12:32:13,03/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a fev/26,"R$ 22.872,29",22872.29,Autorizada,authorized,852510
contaja-812989,contaja,02/02/2026 19:00:26,02/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a jan/26,"R$ 22.872,29",22872.29,Autorizada,authorized,812989
contaja-775748,contaja,05/01/2026 13:09:07,01/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a dez/25,"R$ 22.872,29",22872.29,Autorizada,authorized,775748
contaja-740189,contaja,02/12/2025 20:54:15,12/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a nov/25,"R$ 22.872,29",22872.29,Autorizada,authorized,740189
contaja-703607,contaja,03/11/2025 12:15:25,11/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"Análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.","R$ 22.872,29",22872.29,Autorizada,authorized,703607
contaja-673290,contaja,06/10/2025 11:05:27,10/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 22.872,29",22872.29,Autorizada,authorized,673290
contaja-639285,contaja,02/09/2025 23:28:18,09/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 22.872,29",22872.29,Autorizada,authorized,639285
contaja-621268,contaja,11/08/2025 09:06:08,08/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 22.872,29",22872.29,Autorizada,authorized,621268
