grupo,nome,posicaoAtual,alocacaoPct,valorAplicado,taxaCompra,dataAplicacao,dataVencimento
"48,9% | Inflação",NTN-B - AGO/2040,"R$ 27.155,27","10,35%","R$ 26.817,93","IPC-A +6,70%",30/04/2026,15/08/2040
"48,9% | Inflação",CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"R$ 20.090,90","7,66%","R$ 19.000,00","IPC-A +7,85%",13/01/2026,12/01/2032
"48,9% | Inflação",NTN-B - MAI/2035,"R$ 18.824,42","7,17%","R$ 17.040,41","IPC-A +6,13%",19/06/2024,15/05/2035
"48,9% | Inflação",CRA SEARA (JBS) - MAI/2055,"R$ 17.270,89","6,58%","R$ 16.555,34","IPC-A +7,55%",07/08/2025,17/05/2055
"48,9% | Inflação",CRA VERA CRUZ (JALLES) - OUT/2032,"R$ 13.845,24","5,28%","R$ 13.198,36","IPC-A +8,20%",23/10/2025,06/10/2032
"48,9% | Inflação",DEB IGUA - FEV/2044,"R$ 11.706,58","4,46%","R$ 10.405,96","IPC-A +8,56%",03/07/2025,15/02/2044
"48,9% | Inflação",CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"R$ 10.576,03","4,03%","R$ 10.000,00","IPC-A +8,05%",20/01/2026,19/01/2032
"48,9% | Inflação",CRA SEARA - OUT/2065,"R$ 5.227,46","1,99%","R$ 5.000,00","IPC-A +8,03%",05/11/2025,15/10/2065
"48,9% | Inflação",DEB AEGEA RIO SPE1 - SET/2042,"R$ 3.510,61","1,34%","R$ 3.195,96","IPC-A +8,05%",18/12/2024,15/09/2042
"18,6% | Prefixado",CDB BTG PACTUAL - JUL/2030,"R$ 14.843,43","5,66%","R$ 12.000,00","+12,05%",19/07/2024,18/07/2030
"18,6% | Prefixado",CRA MINERVA - JUL/2035,"R$ 11.925,78","4,55%","R$ 11.356,52","+14,25%",07/08/2025,16/07/2035
"18,6% | Prefixado",CRA MINERVA - NOV/2034,"R$ 9.344,94","3,56%","R$ 9.302,94","+13,95%",06/05/2025,16/11/2034
"18,6% | Prefixado",DEB ORIGEM ENERGIA - DEZ/2035,"R$ 4.456,46","1,7%","R$ 4.237,96","+12,90%",20/08/2024,15/12/2035
"18,6% | Prefixado",DEB V.TAL - ABR/2032,"R$ 8.284,81","3,16%","R$ 8.151,16","+14,55%",03/06/2025,15/04/2032
10% | Pós-Fixado,CRI PATRIMAR - ABR/2029,"R$ 7.032,00","2,68%","R$ 6.863,17","CDI +2,00%",22/11/2024,24/04/2029
10% | Pós-Fixado,CRA BTG - SET/2033,"R$ 6.639,10","2,53%","R$ 6.455,70","97,50% CDI",17/09/2024,15/09/2033
10% | Pós-Fixado,DEB SIMPAR - JAN/2031,"R$ 6.412,76","2,44%","R$ 6.012,79","CDI +3,40%",23/10/2024,15/01/2031
10% | Pós-Fixado,CRA FS FLORESTAL - MAR/2031,"R$ 6.051,01","2,31%","R$ 6.000,00","CDI +3,00%",26/03/2025,17/03/2031
"1,8% | Renda Fixa Global",CRA SEARA (JBS) - OUT/2035,"R$ 4.699,49","1,79%","R$ 5.000,00","DOLAR PTAX +5,30%",05/11/2025,03/10/2035
