nome,grupo,Valor Líquido,Rendimento Bruto,Rendimento Líquido,Garantia,Quantidade,car.Liquidez,car.Juros,car.Amortização,car.Ticker/Código,car.Rating,car.Taxa de compra,eventos
NTN-B - AGO/2040,"48,9% | Inflação","R$ 27.079,37","R$ 337,34","R$ 261,44",0,6,15/08/2040,Semestral,VENCIMENTO,760199,-,"IPC-A +6,70%",
CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"48,9% | Inflação","R$ 19.845,45","R$ 1.090,90","R$ 845,45",0,19,12/01/2032,Vencimento,VENCIMENTO,CDB1264TIWS,Fitch - A+,"IPC-A +7,85%",
NTN-B - MAI/2035,"48,9% | Inflação","R$ 18.512,22","R$ 3.833,63","R$ 3.521,43",0,4,15/05/2035,Semestral,VENCIMENTO,760199,-,"IPC-A +6,13%","[{""data"":""18/11/2024"",""juros"":""R$ 515,33"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CRA SEARA (JBS) - MAI/2055,"48,9% | Inflação","R$ 17.270,89","R$ 1.680,99","R$ 1.680,99",0,16,17/05/2055,Semestral,VENCIMENTO,CRA025003PJ,Moody´s - AAA.br,"IPC-A +7,55%","[{""data"":""17/11/2025"",""juros"":""R$ 573,79"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CRA VERA CRUZ (JALLES) - OUT/2032,"48,9% | Inflação","R$ 13.845,24","R$ 1.095,48","R$ 1.095,48",0,13,06/10/2032,Semestral,VENCIMENTO,CRA024009VN,S&P - brAAA,"IPC-A +8,20%","[{""data"":""06/04/2026"",""juros"":""R$ 501,15"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
DEB IGUA - FEV/2044,"48,9% | Inflação","R$ 11.706,58","R$ 1.300,62","R$ 1.300,62",0,10,15/02/2044,Semestral,VENCIMENTO,IRJS15,S&P - brAAA,"IPC-A +8,56%",
CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"48,9% | Inflação",,,,,,,,,,,,
CRA SEARA - OUT/2065,"48,9% | Inflação",,,,,,,,,,,,
DEB AEGEA RIO SPE1 - SET/2042,"48,9% | Inflação","R$ 3.510,61","R$ 633,42","R$ 633,42",0,3.200,15/09/2042,Semestral,VENCIMENTO,RISP24,S&P - brAA+,"IPC-A +8,05%","[{""data"":""17/03/2025"",""juros"":""R$ 249,46"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CDB BTG PACTUAL - JUL/2030,"18,6% | Prefixado","R$ 14.345,83","R$ 2.843,43","R$ 2.345,83",0,12,18/07/2030,Vencimento,VENCIMENTO,CDB72484UFA,S&P - brAAA,"+12,05%",
CRA MINERVA - JUL/2035,"18,6% | Prefixado",,,,,,,,,,,,
CRA MINERVA - NOV/2034,"18,6% | Prefixado",,,,,,,,,,,,
DEB ORIGEM ENERGIA - DEZ/2035,"18,6% | Prefixado","R$ 4.456,46","R$ 949,89","R$ 949,89",0,4,15/12/2035,Semestral,VENCIMENTO,ORIG21,Fitch - A,"+12,90%","[{""data"":""16/12/2024"",""juros"":""R$ 278,13"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
DEB V.TAL - ABR/2032,"18,6% | Prefixado","R$ 8.284,81","R$ 1.140,92","R$ 1.140,92",0,8,15/04/2032,Semestral,VENCIMENTO,BTEL13,S&P - brAA+,"+14,55%","[{""data"":""15/10/2025"",""juros"":""R$ 500,14"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CRI PATRIMAR - ABR/2029,10% | Pós-Fixado,"R$ 7.032,00","R$ 1.655,99","R$ 1.655,99",0,7,24/04/2029,Semestral,VENCIMENTO,24D2688431,-,"CDI +2,00%","[{""data"":""24/04/2025"",""juros"":""R$ 460,81"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CRA BTG - SET/2033,10% | Pós-Fixado,"R$ 6.639,10","R$ 1.479,13","R$ 1.479,13",0,6,15/09/2033,Semestral,VENCIMENTO,CRA02300HWH,-,"97,50% CDI","[{""data"":""17/03/2025"",""juros"":""R$ 367,95"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
DEB SIMPAR - JAN/2031,10% | Pós-Fixado,"R$ 6.342,77","R$ 1.651,36","R$ 1.581,37",0,6,15/01/2031,Semestral,VENCIMENTO,JSMLA5,Fitch - AAA,"CDI +3,40%","[{""data"":""15/01/2025"",""juros"":""R$ 435,27"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
CRA FS FLORESTAL - MAR/2031,10% | Pós-Fixado,,,,,,,,,,,,
CRA SEARA (JBS) - OUT/2035,"1,8% | Renda Fixa Global","R$ 4.699,49","-R$ 172,07","-R$ 172,07",0,5,03/10/2035,-,VENCIMENTO,CRA0250099D,Moody´s - AAA.br,"DOLAR PTAX +5,30%","[{""data"":""06/04/2026"",""juros"":""R$ 128,43"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]"
