tipo,grupo,cells,nome,summary,collapse.minhaPosicao.Valor Líquido,collapse.minhaPosicao.Rendimento Bruto,collapse.minhaPosicao.Rendimento Líquido,collapse.minhaPosicao.Garantia,collapse.minhaPosicao.Quantidade,collapse.caracteristicas.Liquidez,collapse.caracteristicas.Juros,collapse.caracteristicas.Amortização,collapse.caracteristicas.Ticker/Código,collapse.caracteristicas.Rating,collapse.caracteristicas.Taxa de compra,collapse.eventos,collapse.minhaPosicao.Em cotização,collapse.minhaPosicao.Rendimento bruto,collapse.minhaPosicao.Rendimento líquido,collapse.minhaPosicao.IR,collapse.minhaPosicao.IOF,collapse.caracteristicas.Rent. 12 meses,collapse.caracteristicas.Rent. mês,collapse.caracteristicas.Tempo resgate (Cotização),collapse.caracteristicas.Tempo resgate (Liquidação),collapse.caracteristicas.Taxa administração
grupo,"48,9% | Inflação","[""48,9% | Inflação"",""Posição na taxa de compra"",""% Alocação"",""Valor aplicado"",""Taxa de compra"",""Data aplicação"",""Data vencimento""]",,,,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,NTN-B - AGO/2040,"[""NTN-B - AGO/2040"",""R$ 27.155,27"",""10,35%"",""R$ 26.817,93"",""IPC-A +6,70%"",""30/04/2026"",""15/08/2040""]","R$ 27.079,37","R$ 337,34","R$ 261,44",0,6,15/08/2040,Semestral,VENCIMENTO,760199,-,"IPC-A +6,70%",,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"[""CDB BANCO C6 CONSIGNADO S.A. - JAN/2032"",""R$ 20.090,90"",""7,66%"",""R$ 19.000,00"",""IPC-A +7,85%"",""13/01/2026"",""12/01/2032""]","R$ 19.845,45","R$ 1.090,90","R$ 845,45",0,19,12/01/2032,Vencimento,VENCIMENTO,CDB1264TIWS,Fitch - A+,"IPC-A +7,85%",,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,NTN-B - MAI/2035,"[""NTN-B - MAI/2035"",""R$ 18.824,42"",""7,17%"",""R$ 17.040,41"",""IPC-A +6,13%"",""19/06/2024"",""15/05/2035""]","R$ 18.512,22","R$ 3.833,63","R$ 3.521,43",0,4,15/05/2035,Semestral,VENCIMENTO,760199,-,"IPC-A +6,13%","[{""data"":""18/11/2024"",""juros"":""R$ 515,33"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,"48,9% | Inflação",,CRA SEARA (JBS) - MAI/2055,"[""CRA SEARA (JBS) - MAI/2055"",""R$ 17.270,89"",""6,58%"",""R$ 16.555,34"",""IPC-A +7,55%"",""07/08/2025"",""17/05/2055""]","R$ 17.270,89","R$ 1.680,99","R$ 1.680,99",0,16,17/05/2055,Semestral,VENCIMENTO,CRA025003PJ,Moody´s - AAA.br,"IPC-A +7,55%","[{""data"":""17/11/2025"",""juros"":""R$ 573,79"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,"48,9% | Inflação",,CRA VERA CRUZ (JALLES) - OUT/2032,"[""CRA VERA CRUZ (JALLES) - OUT/2032"",""R$ 13.845,24"",""5,28%"",""R$ 13.198,36"",""IPC-A +8,20%"",""23/10/2025"",""06/10/2032""]","R$ 13.845,24","R$ 1.095,48","R$ 1.095,48",0,13,06/10/2032,Semestral,VENCIMENTO,CRA024009VN,S&P - brAAA,"IPC-A +8,20%","[{""data"":""06/04/2026"",""juros"":""R$ 501,15"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,"48,9% | Inflação",,DEB IGUA - FEV/2044,"[""DEB IGUA - FEV/2044"",""R$ 11.706,58"",""4,46%"",""R$ 10.405,96"",""IPC-A +8,56%"",""03/07/2025"",""15/02/2044""]","R$ 11.706,58","R$ 1.300,62","R$ 1.300,62",0,10,15/02/2044,Semestral,VENCIMENTO,IRJS15,S&P - brAAA,"IPC-A +8,56%",,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,CDB BANCO C6 CONSIGNADO S.A. - JAN/2032,"[""CDB BANCO C6 CONSIGNADO S.A. - JAN/2032"",""R$ 10.576,03"",""4,03%"",""R$ 10.000,00"",""IPC-A +8,05%"",""20/01/2026"",""19/01/2032""]",,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,CRA SEARA - OUT/2065,"[""CRA SEARA - OUT/2065"",""R$ 5.227,46"",""1,99%"",""R$ 5.000,00"",""IPC-A +8,03%"",""05/11/2025"",""15/10/2065""]",,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"48,9% | Inflação",,DEB AEGEA RIO SPE1 - SET/2042,"[""DEB AEGEA RIO SPE1 - SET/2042"",""R$ 3.510,61"",""1,34%"",""R$ 3.195,96"",""IPC-A +8,05%"",""18/12/2024"",""15/09/2042""]","R$ 3.510,61","R$ 633,42","R$ 633,42",0,3.200,15/09/2042,Semestral,VENCIMENTO,RISP24,S&P - brAA+,"IPC-A +8,05%","[{""data"":""17/03/2025"",""juros"":""R$ 249,46"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
grupo,"18,6% | Prefixado","[""18,6% | Prefixado"",""Posição na taxa de compra"",""% Alocação"",""Valor aplicado"",""Taxa de compra"",""Data aplicação"",""Data vencimento""]",,,,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,CDB BTG PACTUAL - JUL/2030,"[""CDB BTG PACTUAL - JUL/2030"",""R$ 14.843,43"",""5,66%"",""R$ 12.000,00"",""+12,05%"",""19/07/2024"",""18/07/2030""]","R$ 14.345,83","R$ 2.843,43","R$ 2.345,83",0,12,18/07/2030,Vencimento,VENCIMENTO,CDB72484UFA,S&P - brAAA,"+12,05%",,,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,CRA MINERVA - JUL/2035,"[""CRA MINERVA - JUL/2035"",""R$ 11.925,78"",""4,55%"",""R$ 11.356,52"",""+14,25%"",""07/08/2025"",""16/07/2035""]",,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,CRA MINERVA - NOV/2034,"[""CRA MINERVA - NOV/2034"",""R$ 9.344,94"",""3,56%"",""R$ 9.302,94"",""+13,95%"",""06/05/2025"",""16/11/2034""]",,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,DEB ORIGEM ENERGIA - DEZ/2035,"[""DEB ORIGEM ENERGIA - DEZ/2035"",""R$ 4.456,46"",""1,7%"",""R$ 4.237,96"",""+12,90%"",""20/08/2024"",""15/12/2035""]","R$ 4.456,46","R$ 949,89","R$ 949,89",0,4,15/12/2035,Semestral,VENCIMENTO,ORIG21,Fitch - A,"+12,90%","[{""data"":""16/12/2024"",""juros"":""R$ 278,13"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
